tag,content
calculator,hi all im getting segmentation faults that im pretty sure are related to how i wrote popback and popfront but i dont really know how to fix them since i call popfront in popall and popall in my deconstructor these are really the only functions managing dynamic memory for me at first i wrote them to 1 assert that list is not empty 2 make a temp pointer to firstlast so as not to orphan it 3 set the secondpenultimate item to firstlast 4 delete the item that we wanted to remove through the temp pointer at this point even though they looked nearly identical to me popback was not doing its job but popfront was but if i tried to run lots of test cases i would eventually get a seg fault i went back and tried to fix it by setting firstprev lastnext to 0 a null pointer but now nothing works my program immediately seg faults any help is much appreciated
calculator,i cant find any description in the spec about whether should be readonly or also allow user to change datum thanks
calculator,how am i supposed to be checking whether my calccpp runs properly as of right now i am checking to see if my calccpp compiles correctly and then i run calc calctest00in calctest00out i then use sdiff to check between the given correct output and what should be in the output of calctestout the problem i am running into is that my out file does not have anything in it but when i manually enter in the numbers i end up with the correct result i think there may be a problem with my printing functions in stackh but i would first like to be sure that i am testing calccpp properly on the caen environment
calculator,i dont think this is relevant to the project but i noticed something peculiar while debugging stackh that i couldnt find an explanation for the following code stackint stack stackint fill with 1bottom 2 3top cout stackpop cout stackpop cout stackpop endl prints out 3 2 1 which is the stack from top to bottom as one might expect however this code cout stackpop stackpop stackpop endl prints out 1 2 3 instead i wouldve thought these would be equivalent expressions but evidently not it doesnt seem to affect the rest of my program all my test cases run fine and my driver works i just thought it was a really weird phenomenon and was wondering if anyone could shed some light on it
calculator,whenever i try to run it i get stuck here anyone have any ideas
calculator,im confused what decoration i should put in front when i declare a operator function for dr also since number and operator all are typed in as string in command line how could we distinguish them
calculator,are we allowed to add other private data members in listh
calculator,should it prints out infinity or negative infinity when denominator is 0
calculator,is the purpose of this function to overwrite the datum of the previous node or insert a new node with the given datum
calculator,we are passing all the public tests but we are having a small memory leak somewhere in stackh it is stating that we are creating a longs that were never destroyed but we never created any long variables does anyone have an idea of whats going on
calculator,how do i test my code on caen i want to make sure my code has no memory leaks what should i enter in the terminal
calculator,is there any way to test iterators default constructor i want to check that nodeptr points to 0 but cant access nodeptr in the test files
calculator,could someone tell me whats wrong
calculator,we have 0 definitely lost 0 indirectly lost 0 possibly lost but we have 120 bytes lost in 5 blocks in still reachable are we actually leaking memory
calculator,should helper functions be the first things declared and only implemented after main or is it okay to implement when declared before main
calculator,is there a difference between setting first to 0 vs setting it to nullptr
calculator,so our calccpp works pretty well but listcompilecheck is failing stating that b iter3 mylistend has invalid operators to a binary expression const listintiterator and listintiterator why is a comparison between const and noncost invalid
calculator,as far as i can tell its not possible to instantiate useful iterators outside list without list having begin and end functions however begin and end arent included in the project spec and were not allowed to modify the lists public interface only add private helper functions are we allowed to add public begin and end functions or is there another way of creating iterators outside of list that can access whats contained in a list
calculator,what should we expect to see as output if we have say 10 1 10 10 or 00 00 there is no specifications for special cases such as these just a few other weird ones bulletpointed on page 7 of the spec
calculator,i have my and overloads in the public section of iterator but they wouldnt compile according to the internet its necessary to prefix both functions with friend why is this necessary and what does friendship mean in this context
calculator,for the copy all function in list i am under the assumption you cant access the first pointer to the first node in other since there is no public function that allows you to access the first node besides its data how would you copy the next nodes data if you cant access others first nodes next pointer
calculator,does this function erase the contents of this and then copy over the nodes from other or does it add the nodes from other to the end of this
calculator,does the iterator assignment operator need to delete the old node and create a new node equal to–but not the reference of–the other iterators node or does it only need to set the datum value equal to the other nodes datum value
calculator,when i stepping through my function to test the insert function my functions work and insert at the correct spots but when i turn off the breakpoints and run the entire test from start to finish it doesnt insert correctly anyone know why this happens i am using xcode
calculator,is there a difference between a valid and dereferenceable iterator for example in listtinsert could it be possible that an iterator hold a null node pointer and be expected to create a node at the back of the list im not sure how else a node could be inserted at the back of a list through listtinsert since there are no elements after the back for the iterator to point to be dereferenceable thanks
calculator,in the stackh file the compiler is getting angry when i try to declare an iterator based on a list of t is that not allowed in general or could i be making a mistake somewhere else in my code
euchre,im on central right now in the ugli i can meet up pretty much wherever
calculator,i noticed when i tried testing very large numbers that our rationalh was declared with int instead of long this is a bit limiting for our calculator isnt it
calculator,after the erase function is called should the iterator be at the node before or after the erased node or does it not matter
calculator,when implementing rationalcpp i came into such a problem that could we put 0 as a denominator in rational especially in the constructor part since c will automatically change 0 to 0 1 0 actually means 1 0 in c and this is not we want is there anybody can help me with this thanks
euchre,if anyone is still looking for a partner and can meet tomorrow beforeafter lecture let me know
calculator,if you get valgrind errors are pretty confident you have no memory issues in your code and have a leak summary similar to below saying you have possibly lost 2064 bytes in 1 block then it is likely an issue with mac osx el capitan and is not your fault see here httpstackoverflowcomquestions34573039possiblememoryleakvalgrindinosxelcapitan run your program as well as valgrind on caen and those errors should no longer be there
calculator,the google form for project 4 says that the registration is for project 3 is the link really for project 4
euchre,i am looking for a partner to review my code let me know if you are interested
calculator,im getting an error that says lexical or preprocessor issue stackh file not found it says the same thing for list h as well
calculator,trying to clear up is operator for iterator supposed to be prefix im unsure based on the wording in the comments and the spec thanks
euchre,when i run the pack public test on my computer it runs fine but for some reason when i run it in caen it spits back a segmentation fault when it tries to initialize a new pack why could this be
euchre,hi im trying to test player and i want to test by looking at the size of a players hand or particular cards within a players hand im trying to write const helper functions that return those values but if we cannot modify the playerh files how are we supposed to let our test file access those functions thanks
euchre,delete works for alice and human but not bob
euchre,i am still confused with the shuffle option is it the case that we always shuffle between hands otherwise we are actually playing with the same hand of cards all the time and if the noshuffle is chosen then only the first shuffle will be turned off
euchre,ive been using sdiff to compare my euchre results to euchretest00 01 and 50 in terminal and none of them return any errors but only 01 is passing the autograder
euchre,in this section of the autograder all our test cases show up except our pack test cases is this intentional there is no student test suite student pack tests
euchre,my euchre driver is getting a segmentation fault whenever i have to shuffle the deck however my shuffle function did not cause segmentation faults during testing what is going on
euchre,the instructions for the simple player states that if the player can follow suit they play the highest card that follows suit otherwise they play the lowest card in their hand however in euchretest01outcorrect drew plays his jack of hearts even though the lead card is the jack of diamonds and he has two other diamond cards in his hand
euchre,say for example the trump suit is hearts and the left bower is a jack of diamonds if we perform the suitnext function on the left bower should it return hearts or diamonds i have it returning diamonds because the left bower is technically considered as a trump suit but i just wanted to make sure that this was correct because the autograder says i have a buggy test and i think this is one of the things that might be causing it
euchre,in the spec it says for consistency with the autograder to print the human players hand in ascending order as defined by the operator when prompting them to make trump so i tried to use the sort function to get the hand in order before printing it but found that we cant call sort inside a const function im confused as to why we would be asked to print the human players in ascending order but not be allowed to use the sort function to do so inside the maketrump function is there a different way were supposed to sort the hand or are we just supposed to leave it unsorted in this function
euchre,in hand 1 of test 01 bob is the dealer and cathy orders up clubs when the upcard is a jack of spades according to the correct solution bob discards the jack of spades however surely he shouldnt do that because the jack of spades is left bower and he has several lower cards heres bobs hand before the discard nine of spades ace of diamonds ten of spades jack of clubs queen of clubs
euchre,when you get to the third trick in hand 0 the correct output says alice leads with jack of diamonds but from my understanding when a simple player leads if they have only trump cards in their hand which alice does then they are supposed to play the highest trump card in their hand which in this case would be the ace of spades all my output is correct except for hand 0 tricks 3 and 4 i am getting the ace leads in trick 3 and the jack leads trick 4 does anyone know why this may be happening and why the jack is played before the ace
euchre,playerteststartercpptext0x457 undefined reference to cardcardstdstring const stdstring const playerteststartercpptext0x4eb undefined reference to cardcardstdstring const stdstring const tmpccrveartoplayerteststartercpptext0x57f more undefined references to cardcardstdstring const stdstring const follow tmpccrvearto in function testmaketrumpround1 playerteststartercpptext0x12e6 undefined reference to playerfactorystdstring const stdstring const playerteststartercpptext0x158a undefined reference to playerfactorystdstring const stdstring const my playerteststartercpp works well in xcode but when i tried it in caen it just gave me the warning like this what could be the problems i did include the player h and cardh not include the packh
euchre,ive been trying for the last few hours to figure out a correct way to output the sorted hand for human play specifically maketrump is there any obvious way to duplicate the vector sort and output it ive tried passing it by value to a sortprint function that still violates the constraints any tips would be highly appreciated
euchre,when i submit my files to the autograder i get a message saying playertest1cpp320 fatal error packcpp no such file or directory include packcpp compilation terminated i am initializing some of my players hands by making a deck and getting cards from that deck directly since im doing that i have to use the header file for packh when i run my tests on linux everything seems to pass fine by not in the autograder running linux by connecting via ssh on mac terminal
euchre,playerteststartercpp in function void testmaketrumpround1 playerteststartercpp635 error player was not declared in this scope player simpleplayer1 playerfactorysimple1 simple when i tried to test my test cases in autograder it kept giving me this kind of message and i was wondering what it means by palyer was not declared in this scople can we create a player in playertestcpp functions or we have to do other ways
euchre,if lead and trump are spades and hearts respectively if you have nine of diamonds and ace of clubs in a players hand would nine of diamonds be less than ace of clubs or would ace of clubs because of the hierarchy in cardh
euchre,can anyone give a hint about testing the add and discard function in playercpp
euchre,when trying to implement the playerfactory i keep running into this error in the line return new simple
euchre,for the human playerwe need to work with inputoutput streams eg to print the players hand and receive a decision in maketrump if i write maketrump to have two extra parameters input and output streams i get a complaint that the function shouldnt have more than four parameters if i write an extra function in my human class to deal with inputoutput i get a complaint that my function doesnt exist how am i meant to deal with input and output for human players
euchre,we have a playertesthumancpp file for specifically testing the human subclass of player however input is required specified in the standard output to run these tests were getting a giant boldfaced surrounded in message from the autograder saying that this file is marking the correct solution as buggy should we be concerned about this is there anything we can do since by the interface requirements player subclass functions cant take a speacific stream ie stringstream as an argument for testing
euchre,how to fix the error like this
euchre,i created a new input file packtestin to test the nondefault constructor in packcpp however the autograder discards this as unnecessary when i upload my test cases is this something i should be concerned aboutcan fix
euchre,currently i have the dealone function using an if else statement to check if the pack is empty or not in the case that the pack is empty what should the function do should it exitexitfailure it says it must return a card so im not sure if we need to check for this scenario or not
euchre,i dont think i understand the point of having a game struct where should i put it so that its variables are visible to my entire program and its helper functions why not just store those variables directly in main and pass them into my functions by reference right now i only have four variables in my game struct
euchre,i passed all three test i wrote on caen terminal but got this warning from autograder what is the problem here
euchre,in the provided euchretest00outcorrect file for the third trick it has drew playing a queen of clubs i am confused because at this time she also has a nine and ten of hearts in her hand since she cant follow suit diamonds wouldnt she play her lowest card the 9 of hearts
euchre,hi there im wondering about how our output will be graded on the autograder specifically the gameplay output such as human player name and name passes etc etc are these graded on a functionbyfunction basis meaning that our functions will be graded one by one and be matched with a correct autograder output or do we just need to have the correct overall output it was never really specified in the specs which outputs go where so my partner and i used our better judgement
euchre,i am running valgrind on my code and i have 0 bytes directly lost all my memory leaks are in possibly lost when i googled what possibly lost meant i found out that possibly lost means your program is leaking memory unless youre doing unusual things with pointers that could cause them to point into the middle of an allocated block see the user manual for some possible causes use showpossiblylostno if you dont want to see these reports i dont know what this means could anyone clarify also any reason i could be getting possibly lost memory
euchre,i tried to test these conditions in euchrecpp but i ended up with this warning in xcode do anyone have any ideas how to fix this warning
euchre,hi im having trouble calling the addanddiscard function in maketrump i think its because maketrump is a const function while addanddiscard is not if this is the case how are we supposed to pick up the upcard and discard the lowest in maketrump without calling addanddiscard
euchre,whenever there is someone ordering up we should print the dealers hand how do we know who the dealer is when we are in a random player class so for this function does the code like ifisdealer orderingup print the hand work
euchre,what it says in the title whenever i make tests the sdiff fails due to euchre insert command line arguments here not being in the output file is there a particular reason for this problem i am on os x does make tests only work properly on caen environments
euchre,specifically for the player class in project 3 im wondering if we are allowed to make private member functions as helper functions for example i think it would be easier to implement something like a function that returns the highest card in a players hand if it didnt have to be written outside the class i dont know if this breaks the rules of interfaceimplementationrepresentation stuff or would be considered poor style
euchre,i get the code like if something something when the condition is too long for one line from which point should i divide the condition into the second line
euchre,the maketrump rme said return true and change orderupsuit to desired suit does that mean that i need to assign the orderupsuit after i return true
euchre,in the maketrump function what should i put in the if statement condition whenever there is an order up situation should i define a bool called orderupi dont think that works
euchre,when i try to delete my player objects it gives me the error cannot delete expression of valuetype aka player
euchre,im confused as to why the humanplayer functions leadcard playcard take in ledcard and trump given that the human determines their own strategy is it just because the functions in simple player need these parameters and the two functions have to have the same signatures so basically are we supposed to do anything with these parameters or are we just prompting the user for the card of their choice
euchre,im getting a swap error in playercpp and it wont compile does anyone know what the issue could be thanks
euchre,would we need to implement screwing the dealer for the human player whos the dealer during round two it didnt say anything about it in the spec is it safe to assume that the simple players will pick a suit before the human player
euchre,so my partner i ran all of our code on caen and then performed the valgrind memory leak test there are 0 bytes neither directly nor indirectly lost however there are 652 bytes possibly lost in 22 blocks how can this happen given that the only dynamic memory directly allocated were the players and do we have to worry about things being possibly lost
euchre,hi all just as a heads up i redistributed my office hours tomorrow so that they arent all in a three hour chunk in the morning they are now 121 230330 and 78 i hope this wont cause any scheduling conflicts please let me know if i can help out at all grace
euchre,im confused about how to represent the cards in a players handi expected hand to be a private vector or array in player seeing as all players have a hand and the operations in player mostly act on that hand is it that we create an array hand for each subclass where should i be keeping track of the cards and who they belong to any help is appreciated
euchre,can i include header sstream sstream is not included in the library list in spec so i was wondering am i allowed to use that
euchre,when testing pack are we to assume that the filename packin will be supplied in the autograder there arent a lot of options for testing packconst stdstring packfilename
euchre,stdarraycard packsize cards can anyone explain this to me how to use it i have no idea thanks
euchre,so this sounds a bit crazy but is it at all possible to iterate through a vector in a circular fashion eg we have players 0 1 2 and 3 we want to do something with players 1 2 3 then 0 all within a single loop instead of doing a forloop for players 13 and having a separate line of code for the action done to player 0 is such a thing possible
euchre,if someone types no shuffle and enters the point as 10 since the point can not be gained in just one round do we need to shuffle the card at the start of a new round
euchre,i keep getting this error for the player factor yet all my virtual functions have been implemented
euchre,can we using assignment rather than using initializer in constructor
euchre,the specs says that when making trump reaches a human player first print out the players hand shall we need to do the printout in the make trump function or just do it in the euchrecpp if a human player is dealer and someone orders up during the first round of making print the players hand and an option to discard the upcard should this step to be done in euchrecpp or we still should do it in playercpp
euchre,i have already include algorithm in my playercpp and try to use sort function but when compile i keep getting no matching function for call to swap and sort3 etc is there a way to fix it
euchre,1 when making trump if the human player is the dealer should we still have the output be human player name please enter a suit or pass seems pretty counterintuitive is the expectation that the human player will ignore the pass portion and type in a valid suit 2 when we display the hand in order during the trick is it in order wrt trump this would be pretty annoying as the sort function i imagine uses our overloading of the and operators which do not account for trump
euchre,during the second round of the human player making trump can it order up the same suit as the upcard from the previous round or does it have to follow the simple player algorithm in this way also will we be playing screw the dealer with the human dealer during round 2
euchre,lets say that a diamond was the upcard in round 1 and nobody orders up is it permissible for a player to order up diamonds in round 2
euchre,so i ran my code through the autograder and even though all of my packtestcpp files compile for me they do not work in the autograder the following is the error output playertestinitializationcpp1818 fatal error packh no such file or directory include packh compilation terminated are we not permitted to use pack objects or functions to help test player im not sure what else is causing this
euchre,there is an error in my code said overloaded operator must be a binary operatorhas 3 parameters what does it mean
euchre,since we can not modify the h file where should we declare the derived classes like the simpleplayer and humanplayer
euchre,why does the spec specify the order of suits to break a tie d c h s as far as i understand this should never be relevant because in all cases either the led suit or trump will take precedence over all others unless this is different from the euchre i play it is impossible to take a trick with a card that is neither trump nor the led suit also why are ranks 27 included in cardh as far as i know they are never used in play thanks
euchre,i am confused that if the addanddiscard function is only for dealer if so should we consider the trump in the implementation of this function and the trump is a global variable for the entire program thanks
euchre,would anyone know why im getting a segmentation fault for packpublictest
euchre,should i be putting private variables in separate inherited classes even thought the variables are both the same can i use protected variables
euchre,im confused about the requirement and public test in this function whether should we return the trump suit or next suit since it can only return one value
euchre,when we discard the lowest value card in hand do we need to worry about led suit to determine which one is lowest
euchre,how can we test our driver euchrecpp efficiently it is working for all 3 examples and works in the autograder but i want to know if there is anything else i can do to make sure it is working fully
euchre,can someone explain how we do shuffle function the two parts we split is not even so how do we swap them
euchre,for the dealone function in packcpp how do we know what the starting value of next is should we just initialize it to zero in the function but if we do that it will be initialized to zero every time the function is called am i missing something obvious thank you
euchre,when i tried to run packpublictest on visual studio i get an unhandled exception badalloc at memory location error and it gave me a break point at my cardgetrank const function in cardcpp does anyone have an idea what this could mean when i ran cardcpp and its tests i didnt get this error i also tried commenting out everything in packcpp that used the getrank function but still got this error thank you
euchre,when i was doing the cardless function i was wondering if i could assume that a and b are different or i still need to check the situation where they are same and then return false
euchre,if a simple player can follow suit they play the highest card that follows suit otherwise they play the lowest card in their hand does this mean the lowest card in their hand considering trump
euchre,could someone please explain the syntax of this line for me stdarraycard packsize cards is the array name cards and it takes in two arguments im confused about how i can push something into the 0 index of this array and then increment and push another thing into the array
euchre,the requirements and restrictions section of the project spec does not list sstream as one of the libraries that we can use however the card public test file uses this library to test the operator function i would think that being able to use ostringstream would be helpful for testing this function in our own tests but i just wanted to make sure that it was left out of the project spec on purpose and not by accident
euchre,is it true that if everyone doesnt pass in first round someone ordered up if someone orders up then we dont call make trump so we dont go to round 2 you get to round 2 if everyone passes round 1
euchre,im getting an issue when i use the sort function i have included the algorithm library in the playerh file when i go to compile the program i get a bunch of errors saying that there is no matching function call to swap within the algorithm library does anyone know whats going on
euchre,im trying to figure out a way to test addcard and addanddiscard functions the players hand is currently in private scope so i cant directly check hand to see if my functions added a card i also cant write a function that will returns a players hand because it wasnt declared in the header file can someone suggest hintsideas for how to check my players hand for my test cases thanks
euchre,when i run my program the file does not open anyone know whats wrong
euchre,im trying to read the file packin in a while loop but the variable im using does not read anything in
euchre,would it be okay to write a helper function in cardscpp to easily find the suit pairs but only use plain strings instead of the const string variables ie diamonds instead suitdiamonds since the variables are member functions
euchre,in packcpp are the cards including all cards or the only cards rank910jqka you can use in the came
euchre,i dont know what the error means or why its occurring
euchre,
euchre,i keep getting this error when running tests for my card file even with card public tests what could be the error
euchre,how does the sort function for vector work exactly wheres the implementation for the sort
euchre,for packcpp i put the class type and then the resolution scope operator and then the name function but i get an error saying undeclared identifier
euchre,for the functions that compare the values of the rhs and lhs in cards do we need to take into consideration both the rank and the suit
euchre,im a bit confused about the function stdstring getsuitconst stdstring trump const the hint says that the left bower is the trump suit this i understand but in the public test for this function it says assertthreespadesgetsuitcardsuitclubs cardsuitspades i dont get why this is true the card rank is three so it wouldnt be the left bower
euchre,for the procedure for addanddiscard the spec states the dealer then discards the lowest card in their hand counting the upcard for a final total of five cards how can we count the upcard when evaluating the lowest card in the hand without making the hand effectively 6 cards which would break the invariant
euchre,in appendix b it describes the make trump process it says that we should prompt the user to enter a suit what if we are in the first round isnt there only one suit to choose from with the other option being to pass so for example the upcard is the jack of diamonds we are in round 1 we print out human player bobs hand and ask him to pick a suit and he types spades should we be outputting some sort of error message to tell the human to enter a valid suit
euchre,hi all sorry because i know that i should know the answer to this but are we supposed to be using the makefile for cardtest ie make cardtest when i try to run my code i get an error for each constexpr saying constexpr only available with stdc11 or stdgnu11 so im assuming i need more arguments to compile it i have no idea any help is much appreciated
euchre,should we be resetting next to 0 in shuffle since it is supposed to only happen at the beginning of the game
euchre,for the maketrump function in playercpp do we have to implement all the various things that occur whether the round is 1 or 2 and whether the player is the dealer such as screw the dealer and swapping the dealers card or is that something that would be implemented in euchrecpp
euchre,so were having an interesting issue where xcode wont allow us to allocate a new simpleplayer as the playerfactory function does because were allocating an object of abstract class type simpleplayer even though weve defined every single function that was abstract in the player class the only function that was not redefined was the player destructor which we actually cant redefine as we cant have a player destructor for the simpleplayer subclass is there something were missing here
exam,does someone know when and how we can submit regrade request i didnt any regrade link on gradescope
exam,midterm exam regrades have been opened and the solutions have been uploaded to the google drive please look over the solutions before submitting a regrade request if after going through the solutions you still feel that your exam has been incorrectly graded then please submit a regrade request through gradescope while you submit regrades for specific questions we reserve the right to regrade your entire exam if you submit a request the deadline for submitting regrade requests is sunday at 800 pm
euchre,should we consider the case where two cards are the exact same rank suit if so what should be the functionality of the and operators in this case if not how is the operator implemented rank only how does the operator function since in a real game of euchre no two cards would be exactly the same
euchre,in our test cases and in our cardcpp file when we refer to a rank or suit can we use the string name or should we use the static variable in the card class for example if i wanted to see if a card called fourhearts had the right values should i use assertfourheartsgetsuit hearts or assertfourheartsgetsuit cardsuithearts i was wondering about this because i didnt know if this broke the rule of respecting the interface of a class
euchre,i am confused about what readpack is supposed to be doing does it read each card for the array cards into packinput
exam,the midterm scores have been released and can be viewed on gradescope the statistic scores can be found in the grade statistics thread 7 regrades are not open yet so please do not try to email us with regrade requests you will submit regrades through gradescope and those will likely be opened tomorrow watch out for another announcement regarding regrades eecs 280 staff
image,i am looking for a review partner my phone number is 7342761492
euchre,are we allowed to use stringstreams
image,call me at 917 684 9173
image,does anyone want to meet up today for this code review i live on central but can come up to north campus if need be preferred place would be the ugli if one can manage i will probably be in the basement of the ugli at 3pm today a mass grouping would be optimal
exam,please do not discuss the exam until everybody has finished taking it to be safe please refrain from discussion until at least tuesday night pin
exam,how much do we need to know about scope resolution operators they were a part of lab 4 but i have yet to find them coming up on anything else
exam,if there is a c style string like char ptr someting is that correct ptr refer to whole string while ptr refer to first element in the string
image,
exam,for virtual or pure virtual functions the searching will stop until both a name and signature matching function is found but for nonvirtual functions it will stop whenever a matching name is found is that correct then that can explain in problem 4 since the dynamic type of bobptr is manager but the signature of getraise in manager doesnt match so it will go up find getraise in engineer class which is matched with the expression in main function
exam,for the following question could someone please explain the 3rd question argv
exam,for the following question is the 3rd line necessary if so why where do the instructions specify it
exam,my question regards number 5a in winter 2015 below is the answer provided on the answer key would the following also be correct for the 4th line deptptr studentsi students ini
exam,for 1d the correct answer is string speak const would the following also be correct string speak const
exam,im curious as to whether or not my solution for this would work the answer key shows that they just used the dot operator to access numstudents and students would it also be valid to initialize a pointer to eecsdept as department eecsptr eecsdept and then perform the same for loop by saying i eecsptrnumstudents and eecsptrstudentsi i feel like this should work but i want to double check thanks
exam,is the answer to this questions none because warships constructor does not use ships constructor to initialize numsailors to 0 correct me if im wrong but according to name lookup the compiler looks for a function with the name numsailors in the static type of the pointer ship since its not virtual it tries to execute the numsailors from the ship base class but since the constructor for red october did not use the ships initializing constructor the private member sailors is uninitialized so there would be no output thanks
exam,hi there im wondering if there might be an error in answer key to the second part of question 2 on the midterm review worksheet i put the exact same code into labster and the output was 30 30 5 n 29 4 2 but the answer key says 30 30 60 n 29 59 2 help
exam,i was wondering how we would approach the second part of this problem where it states foo is a pointer to a function that takes a c string and a char as its arguments and returns a double arent pointers to be declared to point at an object with a value by that logic how can a pointer point at a function if functions have no value my first attempt was double foo fstring in char in
